Player Name,Team,Price,pid,isbatsman,isbowler,iswicketkeeper,isoversea,isCap,role,base,Chennai Super Kings purse,Delhi Capitals purse,Gujrat Titans purse,Kolkata Knight Riders purse,Lucknow Super Giants purse,Mumbai Indians purse,Punjab Kings purse,Rajastan Royals purse,Royal Challengers Banglore purse,Sunrisers Hyderabad purse,Chennai Super Kings ba,Delhi Capitals ba,Gujrat Titans ba,Kolkata Knight Riders ba,Lucknow Super Giants ba,Mumbai Indians ba,Punjab Kings ba,Rajastan Royals ba,Royal Challengers Banglore ba,Sunrisers Hyderabad ba,Chennai Super Kings bo,Delhi Capitals bo,Gujrat Titans bo,Kolkata Knight Riders bo,Lucknow Super Giants bo,Mumbai Indians bo,Punjab Kings bo,Rajastan Royals bo,Royal Challengers Banglore bo,Sunrisers Hyderabad bo,Chennai Super Kings ar,Delhi Capitals ar,Gujrat Titans ar,Kolkata Knight Riders ar,Lucknow Super Giants ar,Mumbai Indians ar,Punjab Kings ar,Rajastan Royals ar,Royal Challengers Banglore ar,Sunrisers Hyderabad ar,Chennai Super Kings wk,Delhi Capitals wk,Gujrat Titans wk,Kolkata Knight Riders wk,Lucknow Super Giants wk,Mumbai Indians wk,Punjab Kings wk,Rajastan Royals wk,Royal Challengers Banglore wk,Sunrisers Hyderabad wk,Chennai Super Kings os,Delhi Capitals os,Gujrat Titans os,Kolkata Knight Riders os,Lucknow Super Giants os,Mumbai Indians os,Punjab Kings os,Rajastan Royals os,Royal Challengers Banglore os,Sunrisers Hyderabad os,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,fair
Mujeeb Rahman,Unsold,0.0,193,0,1,0,1,1,bo,1.0,3.6999999999999993,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,12.5,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,8.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,4.266666666666667,30,108.47457627118644,9.142857142857142,1.0810810810810811,111,6.5859375,23.416666666666668,21.333333333333332,0.0,90.24662962962964,12.678988174884026,10.205852929025298,2.509000000000001
Mayank Markande,Sunrisers Hyderabad,0.5,133,0,1,0,0,0,bo,0.5,3.6999999999999993,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,12.5,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,8.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,5.133333333333334,15,114.92537313432835,15.4,1.027027027027027,37,7.366178428761652,24.263157894736842,19.763157894736842,0.0,49.84762500000001,0.0,19.0810461737165,0.9722500000000004
Anmolpreet Singh,Sunrisers Hyderabad,0.2,149,1,0,0,0,0,ba,0.2,3.6999999999999993,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,12.0,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,9.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,20.31578947368421,19,119.5046439628483,22.705882352941178,0.0,0,0.0,0.0,0.0,17.868444444444446,0.0,0.0,0.0,0.28099999999999953
Chethan LR,Unsold,0.0,3887,1,0,1,0,0,wk,0.2,3.6999999999999993,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,11.8,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,6.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,9.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3343178629355679
Shubham Khajuria,Unsold,0.0,2092,1,0,0,0,0,ba,0.2,3.6999999999999993,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,11.8,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,6.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,9.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,22.214285714285715,14,127.98353909465021,25.916666666666668,0.0,2,8.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.36866666666666675
Rohan Kunnummal,Unsold,0.0,2524,1,0,0,0,0,ba,0.2,3.6999999999999993,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,11.8,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,6.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,9.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,27.0,6,114.89361702127661,32.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5595000000000007
Shaik Rasheed,Chennai Super Kings,0.2,3435,1,0,0,0,0,ba,0.2,3.6999999999999993,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,11.8,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,6.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,9.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,23.22222222222222,9,122.22222222222223,26.125,0.0,0,0.0,0.0,0.0,46.13254545454545,87.86985714285714,0.0,0.0,0.4890000000000003
Himmat Singh,Unsold,0.0,18,1,0,0,0,0,ba,0.2,3.499999999999999,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,11.8,6.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,6.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,9.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,18.681818181818183,22,132.15434083601286,27.4,1.0,1,0.0,0.0,3.0,58.422714285714285,56.52642857142858,0.0,0.0,0.3504999999999998
Vivrant Sharma,Sunrisers Hyderabad,2.6,-1,1,1,0,0,0,ar,0.2,3.499999999999999,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,11.8,6.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,6.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,9.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3765245563994828
Priyam Garg,Unsold,0.0,227,1,0,0,0,0,ba,0.2,3.499999999999999,12.35,16.75,5.05,6.850000000000001,1.5500000000000007,13.200000000000003,4.949999999999999,6.85,9.200000000000001,6.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,6.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,9.0,8.0,9.0,6.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,17.956521739130434,23,121.11436950146629,20.65,0.0,0,0.0,0.0,0.0,61.24200000000001,97.31955555555557,0.0,0.0,0.31749999999999956
