Player Name,Team,Price,pid,role,isoversea,isCap,isbatsman,isbowler,iswicketkeeper,base,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,fair,supply,bid team,no overseas,demand_team,demand_other,purse bid,max purse,avg purse,output
Ravichandran Ashwin,Rajastan Royals,5.0,191,ar,0,1,1,1,0,2.0,11.696969696969695,33,128.66666666666666,14.296296296296296,0.9824561403508772,57,7.418530351437699,27.642857142857142,22.357142857142858,79.53789655172415,149.6458195488722,13.268602336325737,10.60042086931282,5.2805,15,Mumbai Indians,1.0,8.0,61.0,48.0,68.0,54.75625,0
Ravichandran Ashwin,Rajastan Royals,5.0,191,ar,0,1,1,1,0,2.0,11.696969696969695,33,128.66666666666666,14.296296296296296,0.9824561403508772,57,7.418530351437699,27.642857142857142,22.357142857142858,79.53789655172415,149.6458195488722,13.268602336325737,10.60042086931282,5.2805,15,Punjab Kings,0.0,10.0,59.0,63.75,68.0,52.7875,0
Ravichandran Ashwin,Rajastan Royals,5.0,191,ar,0,1,1,1,0,2.0,11.696969696969695,33,128.66666666666666,14.296296296296296,0.9824561403508772,57,7.418530351437699,27.642857142857142,22.357142857142858,79.53789655172415,149.6458195488722,13.268602336325737,10.60042086931282,5.2805,15,Rajastan Royals,1.0,4.0,65.0,62.0,68.0,53.00625,1
Ravichandran Ashwin,Rajastan Royals,5.0,191,ar,0,1,1,1,0,2.0,11.696969696969695,33,128.66666666666666,14.296296296296296,0.9824561403508772,57,7.418530351437699,27.642857142857142,22.357142857142858,79.53789655172415,149.6458195488722,13.268602336325737,10.60042086931282,5.2805,15,Royal Challengers Banglore,1.0,7.0,62.0,57.0,68.0,53.63125,0
Ravichandran Ashwin,Rajastan Royals,5.0,191,ar,0,1,1,1,0,2.0,11.696969696969695,33,128.66666666666666,14.296296296296296,0.9824561403508772,57,7.418530351437699,27.642857142857142,22.357142857142858,79.53789655172415,149.6458195488722,13.268602336325737,10.60042086931282,5.2805,15,Sunrisers Hyderabad,1.0,5.0,64.0,68.0,63.75,52.7875,0
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Chennai Super Kings,1.0,7.0,61.0,48.0,68.0,54.13125,0
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Delhi Capitals,1.0,6.0,62.0,47.5,68.0,54.19375,0
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Gujrat Titans,1.0,8.0,60.0,52.0,68.0,53.63125,0
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Kolkata Knight Riders,2.0,7.0,61.0,48.0,68.0,54.13125,1
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Lucknow Super Giants,1.0,7.0,61.0,59.8,68.0,52.65625,0
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Mumbai Indians,1.0,8.0,60.0,48.0,68.0,54.13125,0
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Punjab Kings,0.0,10.0,58.0,63.75,68.0,52.1625,0
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Rajastan Royals,1.0,3.0,65.0,57.0,68.0,53.00625,0
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Royal Challengers Banglore,1.0,7.0,61.0,57.0,68.0,53.00625,0
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222225,13.330071227466789,13.852490042654162,5.7845,12,Sunrisers Hyderabad,1.0,5.0,63.0,68.0,63.75,52.1625,0
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Chennai Super Kings,1.0,6.0,59.0,48.0,68.0,53.225,0
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Delhi Capitals,1.0,6.0,59.0,47.5,68.0,53.2875,0
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Gujrat Titans,1.0,7.0,58.0,52.0,68.0,52.725,0
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Kolkata Knight Riders,3.0,2.0,63.0,40.75,68.0,54.13125,0
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Lucknow Super Giants,1.0,7.0,58.0,59.8,68.0,51.75,0
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Mumbai Indians,1.0,7.0,58.0,48.0,68.0,53.225,0
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Punjab Kings,0.0,7.0,58.0,63.75,68.0,51.25625,1
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Rajastan Royals,1.0,9.0,56.0,57.0,68.0,52.1,0
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Royal Challengers Banglore,1.0,6.0,59.0,57.0,68.0,52.1,0
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,5.884615384615385,26,110.86956521739133,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.7947908445146,7.9835,4,Sunrisers Hyderabad,1.0,8.0,57.0,68.0,63.75,51.25625,0
Trent Boult,Rajastan Royals,8.0,101,bo,1,1,0,1,0,2.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541509,7.965,5,Chennai Super Kings,1.0,6.0,58.0,48.0,68.0,52.06875,0
