Player Name,Team,Price,pid,role,isoversea,isCap,isbatsman,isbowler,iswicketkeeper,base,Chennai Super Kings purse,Delhi Capitals purse,Gujrat Titans purse,Kolkata Knight Riders purse,Lucknow Super Giants purse,Mumbai Indians purse,Punjab Kings purse,Rajastan Royals purse,Royal Challengers Banglore purse,Sunrisers Hyderabad purse,Chennai Super Kings ba,Delhi Capitals ba,Gujrat Titans ba,Kolkata Knight Riders ba,Lucknow Super Giants ba,Mumbai Indians ba,Punjab Kings ba,Rajastan Royals ba,Royal Challengers Banglore ba,Sunrisers Hyderabad ba,Chennai Super Kings bo,Delhi Capitals bo,Gujrat Titans bo,Kolkata Knight Riders bo,Lucknow Super Giants bo,Mumbai Indians bo,Punjab Kings bo,Rajastan Royals bo,Royal Challengers Banglore bo,Sunrisers Hyderabad bo,Chennai Super Kings ar,Delhi Capitals ar,Gujrat Titans ar,Kolkata Knight Riders ar,Lucknow Super Giants ar,Mumbai Indians ar,Punjab Kings ar,Rajastan Royals ar,Royal Challengers Banglore ar,Sunrisers Hyderabad ar,Chennai Super Kings wk,Delhi Capitals wk,Gujrat Titans wk,Kolkata Knight Riders wk,Lucknow Super Giants wk,Mumbai Indians wk,Punjab Kings wk,Rajastan Royals wk,Royal Challengers Banglore wk,Sunrisers Hyderabad wk,Chennai Super Kings os,Delhi Capitals os,Gujrat Titans os,Kolkata Knight Riders os,Lucknow Super Giants os,Mumbai Indians os,Punjab Kings os,Rajastan Royals os,Royal Challengers Banglore os,Sunrisers Hyderabad os,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,fair
Manish Pandey,Lucknow Super Giants,4.6,62,ba,0,1,1,0,0,1.0,48.0,41.25,45.75,28.5,53.05,48.0,54.5,49.0,50.0,68.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,27.69047619047619,84,138.61740166865314,43.074074074074076,0.0,0,0.0,0.0,0.0,247.33255772357722,318.31185714285715,0.0,0.0,4.120833333333338
Shimron Hetmyer,Rajasthan Royals,8.5,44,ba,1,1,1,0,0,1.5,48.0,41.25,45.75,28.5,48.449999999999996,48.0,54.5,49.0,50.0,68.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,21.41891891891892,74,130.77557755775578,25.158730158730158,0.0,0,0.0,0.0,0.0,326.97323587443947,167.7509338842975,0.0,0.0,6.694500000000001
Robin Uthappa,Chennai Super Kings,2.0,61,ba,0,1,1,0,0,2.0,48.0,41.25,45.75,28.5,48.449999999999996,48.0,54.5,40.5,50.0,68.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,23.126984126984127,63,124.95711835334478,24.283333333333335,0.0,0,0.0,0.0,0.0,302.7245714285714,87.83833898305087,0.0,0.0,3.179
Jason Roy,Gujarat Titans,2.0,264,ba,1,1,1,0,0,2.0,46.0,41.25,45.75,28.5,48.449999999999996,48.0,54.5,40.5,50.0,68.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,25.2972972972973,74,136.8421052631579,26.366197183098592,0.0,0,0.0,0.0,0.0,745.1381624854923,81.05136363636365,0.0,0.0,2.7965
David Miller,Gujarat Titans,3.0,181,ba,1,1,1,0,0,1.0,46.0,41.25,43.75,28.5,48.449999999999996,48.0,54.5,40.5,50.0,68.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,24.714285714285715,84,142.48455730954015,35.793103448275865,0.0,0,0.0,0.0,0.0,147.04498260869568,495.64219870410375,0.0,0.0,3.086333333333333
Devdutt Padikkal,Rajasthan Royals,7.75,50,ba,0,1,1,0,0,2.0,46.0,41.25,40.75,28.5,48.449999999999996,48.0,54.5,40.5,50.0,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,38.604651162790695,43,142.61168384879724,43.68421052631579,0.5,4,10.166666666666666,30.5,18.0,287.768658755038,95.50166666666667,25.0,11.249999999999998,7.032333333333334
Suresh Raina,Unsold,0.0,22,ar,0,1,1,1,0,2.0,46.0,41.25,40.75,28.5,48.449999999999996,48.0,54.5,32.75,50.0,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,26.56140350877193,57,131.7667536988686,30.897959183673468,0.2727272727272727,11,6.095238095238095,42.666666666666664,42.0,299.1040327868852,146.61291752577324,0.0,0.0,7.5685
Steve Smith,Unsold,0.0,170,ba,1,1,1,0,0,2.0,46.0,41.25,40.75,28.5,48.449999999999996,48.0,54.5,32.75,50.0,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,26.927272727272726,55,127.78257118205349,32.19565217391305,0.42857142857142855,7,10.869565217391305,41.666666666666664,23.0,251.9789820062978,239.77505504587157,0.0,4.235294117647059,4.837999999999996
Dwayne Bravo,Chennai Super Kings,4.4,41,ar,1,1,1,1,0,2.0,46.0,41.25,40.75,28.5,48.449999999999996,48.0,54.5,32.75,50.0,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,13.3,80,142.62734584450402,20.862745098039216,1.1965811965811965,117,8.537821782178217,25.664285714285715,18.035714285714285,50.31766666666667,396.9971259079903,13.958339715117171,11.748343751044557,6.1594999999999915
Nitish Rana,Kolkata Knight Riders,8.0,60,ar,0,0,1,1,0,1.0,41.6,41.25,40.75,28.5,48.449999999999996,48.0,54.5,32.75,50.0,68.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,24.347826086956523,69,138.9578163771712,26.666666666666668,0.7142857142857143,35,6.6650602409638555,18.44,16.6,208.1945941605839,174.6041743119266,8.307692307692308,9.692307692307692,6.402833333333333
